id,latitude,longitude,price,neighbourhood_cleansed,review_scores_rating,availability_365
13282475,37.75112586,-122.4230647,$150.00 ,Mission,98,121
6466197,37.75695181,-122.4116516,$240.00 ,Mission,95,152
4614763,37.75300727,-122.4040496,$175.00 ,Mission,98,77
15346313,37.75646678,-122.4164391,$275.00 ,Mission,98,31
8670481,37.75349384,-122.4195855,$600.00 ,Mission,98,62
15424616,37.75317766,-122.4244942,$42.00 ,Mission,95,59
7350876,37.76108383,-122.425571,$149.00 ,Mission,90,11
4155983,37.76848691,-122.4206638,$125.00 ,Mission,99,331
17682872,37.74981207,-122.4150952,$50.00 ,Mission,100,9
2665028,37.75781911,-122.4108124,$165.00 ,Mission,99,33
16083525,37.75603488,-122.4112037,$500.00 ,Mission,100,351
6924852,37.76673598,-122.4240911,$120.00 ,Mission,100,291
3376895,37.74923178,-122.4190466,$80.00 ,Mission,95,288
14948841,37.7572341,-122.4150385,$650.00 ,Mission,98,119
17590812,37.76873486,-122.4245731,$100.00 ,Mission,100,37
7596529,37.75123663,-122.4104629,$550.00 ,Mission,93,53
1223107,37.75862868,-122.4117893,$126.00 ,Mission,95,87
5007820,37.76485673,-122.4251007,$341.00 ,Mission,89,88
9857891,37.76867917,-122.4225395,$275.00 ,Mission,99,286
10660277,37.76740115,-122.4224661,$95.00 ,Mission,100,57
27028,37.76097556,-122.4215808,$199.00 ,Mission,94,31
16352294,37.75040546,-122.4110787,$250.00 ,Mission,100,5
5253439,37.75783386,-122.4130874,$33.00 ,Mission,96,25
3434710,37.75908236,-122.418195,$120.00 ,Mission,100,19
15509687,37.76070044,-122.4076222,$98.00 ,Mission,100,183
9201794,37.76443752,-122.4074289,$175.00 ,Mission,99,331
1863106,37.76724432,-122.4212892,$79.00 ,Mission,95,96
10251,37.75874295,-122.413272,$250.00 ,Mission,95,354
14673975,37.76539394,-122.4183993,$95.00 ,Mission,92,51
10070039,37.75967033,-122.4147865,$325.00 ,Mission,97,91
15853561,37.76207429,-122.4063294,$650.00 ,Mission,100,32
187730,37.75756728,-122.4193947,$65.00 ,Mission,97,263
17590102,37.76847404,-122.4251584,$125.00 ,Mission,100,85
9119573,37.75975848,-122.4071105,$325.00 ,Mission,95,196
17329609,37.75986511,-122.41754,$75.00 ,Mission,100,32
829185,37.77109003,-122.4240191,$399.00 ,Mission,99,167
943851,37.75708418,-122.4080119,$207.00 ,Mission,100,199
14125801,37.7615023,-122.4211684,$320.00 ,Mission,100,146
2188976,37.76456493,-122.4138323,$101.00 ,Mission,92,317
420160,37.76317552,-122.4070776,$99.00 ,Mission,96,146
7956829,37.75570083,-122.4232314,$300.00 ,Mission,96,12
1370425,37.7487178,-122.4199096,$202.00 ,Mission,95,305
2255169,37.75608406,-122.4225961,$71.00 ,Mission,93,21
3238142,37.75523738,-122.4219086,$196.00 ,Mission,92,93
3268637,37.76239584,-122.4065616,$70.00 ,Mission,93,9
15771352,37.75753408,-122.410455,$225.00 ,Mission,80,79
2188919,37.76602128,-122.4165001,$99.00 ,Mission,93,330
3073304,37.76299792,-122.4217049,$95.00 ,Mission,96,211
7873804,37.76720776,-122.4171204,$50.00 ,Mission,93,14
8742154,37.75171999,-122.4138625,$463.00 ,Mission,96,22
2319598,37.75559219,-122.4227863,$195.00 ,Mission,91,167
3105998,37.75228981,-122.4159339,$200.00 ,Mission,98,152
5007321,37.7656085,-122.4200594,$239.00 ,Mission,97,102
9480122,37.75135009,-122.4235024,$140.00 ,Mission,99,161
6924208,37.75315747,-122.4051128,$195.00 ,Mission,95,184
17639292,37.76766368,-122.424679,$200.00 ,Mission,100,64
625935,37.75701828,-122.4212952,$140.00 ,Mission,98,173
802839,37.75924925,-122.4230581,$300.00 ,Mission,100,111
10767017,37.76235785,-122.4238459,$575.00 ,Mission,98,352
1112462,37.76164834,-122.4205553,$350.00 ,Mission,100,365
11674758,37.76563516,-122.4174603,$135.00 ,Mission,94,343
648308,37.75162534,-122.4177249,$100.00 ,Mission,88,365
10232789,37.76249149,-122.4202518,$97.00 ,Mission,100,357
14181323,37.76746906,-122.4241287,$139.00 ,Mission,90,25
5628824,37.74880339,-122.4210351,$220.00 ,Mission,100,365
1471146,37.76742485,-122.423743,$110.00 ,Mission,98,158
7309656,37.75347337,-122.4193957,$295.00 ,Mission,97,192
5196399,37.7568687,-122.4146032,$55.00 ,Mission,97,43
10708414,37.7611278,-122.4221764,$190.00 ,Mission,100,40
9545064,37.75072511,-122.4149275,$109.00 ,Mission,95,314
2198399,37.76514597,-122.4160758,$99.00 ,Mission,94,316
779109,37.75029025,-122.4215714,$160.00 ,Mission,95,358
5202735,37.74994293,-122.4172164,$189.00 ,Mission,99,56
2182851,37.76521165,-122.4165293,$105.00 ,Mission,94,332
4661955,37.75015862,-122.4128977,$195.00 ,Mission,97,90
10074911,37.75742589,-122.4085392,$190.00 ,Mission,80,184
9593505,37.76051646,-122.4096362,$350.00 ,Mission,98,86
16812656,37.76891477,-122.4179894,$95.00 ,Mission,98,346
16310932,37.75912096,-122.4243675,$200.00 ,Mission,100,154
17097361,37.76557474,-122.426239,$125.00 ,Mission,90,171
7004802,37.76998771,-122.4226806,$245.00 ,Mission,96,44
12952172,37.76222242,-122.4078375,$189.00 ,Mission,86,365
6481492,37.7552773,-122.4104774,$375.00 ,Mission,93,152
10528294,37.76094674,-122.4209833,$130.00 ,Mission,99,5
3384413,37.76010961,-122.4185262,$327.00 ,Mission,95,8
905399,37.74874493,-122.4182491,$80.00 ,Mission,97,280
1877071,37.75412286,-122.4062341,$175.00 ,Mission,80,85
17736082,37.75548251,-122.4252203,$61.00 ,Mission,100,32
8167990,37.75514538,-122.4196644,$135.00 ,Mission,92,254
991765,37.75570344,-122.4115061,$250.00 ,Mission,97,69
15328485,37.76830528,-122.420741,$70.00 ,Mission,90,20
1499630,37.74994308,-122.4164356,$250.00 ,Mission,98,118
487499,37.76098575,-122.4218298,$195.00 ,Mission,96,96
41399,37.75610669,-122.4186619,$290.00 ,Mission,96,346
16900525,37.75368076,-122.4205052,$249.00 ,Mission,100,61
680288,37.75192025,-122.4136513,$140.00 ,Mission,97,234
11939561,37.75176801,-122.4154344,$160.00 ,Mission,98,113
57676,37.75762489,-122.4193257,$99.00 ,Mission,95,315
100710,37.75629056,-122.4251775,$450.00 ,Mission,100,139
13714899,37.75362764,-122.4240429,$199.00 ,Mission,99,335
664315,37.7531555,-122.4212498,$950.00 ,Mission,100,365
12575461,37.75195465,-122.423666,$195.00 ,Mission,95,141
2236694,37.7508266,-122.4107258,$95.00 ,Mission,98,286
778520,37.76845124,-122.422279,$129.00 ,Mission,94,332
1062497,37.76312154,-122.4258955,$200.00 ,Mission,98,365
2629833,37.75392028,-122.4250217,$232.00 ,Mission,95,249
2927781,37.76715056,-122.4175619,$189.00 ,Mission,99,342
1417398,37.75725607,-122.4125369,$110.00 ,Mission,96,27
3073393,37.76258743,-122.4246365,$425.00 ,Mission,92,330
6119683,37.76181574,-122.4214326,$199.00 ,Mission,98,118
8459807,37.75829739,-122.419475,$220.00 ,Mission,77,274
6365190,37.75653661,-122.419275,$89.00 ,Mission,96,159
298368,37.76258853,-122.4174764,$170.00 ,Mission,98,329
1269738,37.76055316,-122.4208676,$190.00 ,Mission,94,315
13885405,37.75752397,-122.4146837,$300.00 ,Mission,94,77
8703369,37.76934355,-122.4228242,$199.00 ,Mission,98,15
16256385,37.75282381,-122.4130389,$165.00 ,Mission,94,28
499096,37.75852755,-122.4238706,$100.00 ,Mission,95,50
11115880,37.75471988,-122.4103397,$350.00 ,Mission,99,152
5299538,37.75667816,-122.4147033,$33.00 ,Mission,93,88
138592,37.75557545,-122.4247407,$780.00 ,Mission,98,167
8228206,37.75659849,-122.414179,$305.00 ,Mission,96,37
1301798,37.76907821,-122.4203199,$89.00 ,Mission,92,34
13327656,37.7672784,-122.4223073,$109.00 ,Mission,96,14
5299461,37.75852594,-122.4133371,$55.00 ,Mission,97,55
17510273,37.7671807,-122.4204302,$135.00 ,Mission,100,30
13797041,37.75573674,-122.4108047,$360.00 ,Mission,100,5
10771685,37.7593975,-122.4177266,$100.00 ,Mission,100,82
15852721,37.76082204,-122.4191647,$24.00 ,Mission,85,298
23540,37.75065033,-122.4198382,$225.00 ,Mission,96,144
774323,37.76022146,-122.425508,$140.00 ,Mission,97,48
1931763,37.76118152,-122.4191111,$150.00 ,Mission,91,340
9903046,37.75080904,-122.4163747,$599.00 ,Mission,100,245
5446565,37.76999787,-122.4198414,$180.00 ,Mission,92,327
7342996,37.75122573,-122.4236679,$210.00 ,Mission,100,363
548765,37.75524895,-122.4099138,$315.00 ,Mission,95,175
6348721,37.75192598,-122.4217791,$60.00 ,Mission,85,5
2783899,37.75905882,-122.4218547,$200.00 ,Mission,94,10
14292435,37.76134648,-122.4207622,$115.00 ,Mission,98,61
10280573,37.75111378,-122.4133564,$175.00 ,Mission,98,88
2188561,37.76120327,-122.4073464,$449.00 ,Mission,92,6
351821,37.75869748,-122.4110783,$272.00 ,Mission,95,346
15867485,37.76145652,-122.4204264,$150.00 ,Mission,90,5
810552,37.75913995,-122.4100002,$89.00 ,Mission,96,302
14571205,37.75006196,-122.407914,$85.00 ,Mission,87,45
1154506,37.76670376,-122.4182613,$60.00 ,Mission,87,292
12115392,37.75675319,-122.4246655,$90.00 ,Mission,83,25
1511076,37.76346479,-122.4250033,$145.00 ,Mission,99,111
8805264,37.75893796,-122.419015,$170.00 ,Mission,96,347
4748287,37.7565266,-122.409218,$65.00 ,Mission,96,248
1203062,37.75598698,-122.4221984,$225.00 ,Mission,100,76
1333047,37.74993523,-122.4145209,$119.00 ,Mission,98,265
39753,37.75546755,-122.4077818,$399.00 ,Mission,99,38
2513724,37.76588669,-122.4159867,$95.00 ,Mission,93,365
6495015,37.75971732,-122.4216425,$210.00 ,Mission,95,142
4987668,37.76034674,-122.4194064,$110.00 ,Mission,100,60
17654515,37.75765004,-122.4135393,$69.00 ,Mission,90,7
15424260,37.75446165,-122.4240245,$85.00 ,Mission,97,85
4588670,37.74996773,-122.4188683,$230.00 ,Mission,95,33
760539,37.76753421,-122.4218769,$89.00 ,Mission,89,134
3073320,37.76229236,-122.4209399,$125.00 ,Mission,96,183
3667551,37.76255532,-122.4216806,$129.00 ,Mission,94,74
9494210,37.76895856,-122.4247186,$289.00 ,Mission,98,178
14180032,37.75338652,-122.4220808,$180.00 ,Mission,100,330
7151287,37.75109863,-122.421503,$300.00 ,Mission,96,240
859310,37.75696702,-122.420192,$135.00 ,Mission,95,214
909063,37.76605143,-122.4206619,$80.00 ,Mission,99,203
115903,37.76172137,-122.4230352,$90.00 ,Mission,96,365
13884539,37.76455296,-122.4079509,$95.00 ,Mission,100,12
12311665,37.75593645,-122.4097483,$499.00 ,Mission,96,11
3687608,37.75117506,-122.412172,$185.00 ,Mission,98,90
9924449,37.75584484,-122.4087695,$165.00 ,Mission,92,66
400433,37.76015982,-122.4226466,$285.00 ,Mission,100,110
5413930,37.7651071,-122.4220663,$214.00 ,Mission,93,58
7808104,37.76191229,-122.4234471,$202.00 ,Mission,100,7
2611820,37.75931575,-122.4212085,$220.00 ,Mission,94,365
4446003,37.75488841,-122.4102091,$115.00 ,Mission,88,148
15423790,37.75426968,-122.4249502,$84.00 ,Mission,92,65
7823062,37.75686656,-122.4162402,$285.00 ,Mission,93,47
3727061,37.75510678,-122.4151479,$425.00 ,Mission,97,256
3940055,37.7538535,-122.4122535,"$1,200.00 ",Mission,85,363
384689,37.75638877,-122.4151231,$169.00 ,Mission,96,16
560440,37.76050137,-122.4231686,$195.00 ,Mission,100,118
13625546,37.75564467,-122.4114185,$172.00 ,Mission,98,196
9843279,37.76676462,-122.4192121,$190.00 ,Mission,100,298
4527553,37.75418875,-122.4158975,$290.00 ,Mission,97,322
2856374,37.76974154,-122.4238344,$100.00 ,Mission,87,29
6886839,37.75569547,-122.4144864,$249.00 ,Mission,100,6
16322671,37.75147569,-122.4091767,$75.00 ,Mission,99,149
15471316,37.75899436,-122.4075427,$80.00 ,Mission,90,257
8099186,37.75504556,-122.4252385,"$1,400.00 ",Mission,100,6
2193638,37.76537968,-122.4145571,$195.00 ,Mission,91,313
1737616,37.76466538,-122.4247075,$120.00 ,Mission,100,178
6357895,37.75546545,-122.4089539,$175.00 ,Mission,95,91
14341440,37.75270431,-122.411517,$210.00 ,Mission,99,157
134978,37.76276674,-122.4238285,$130.00 ,Mission,87,330
3594786,37.75932619,-122.4190707,$200.00 ,Mission,98,179
14948905,37.75805135,-122.4225549,$450.00 ,Mission,100,132
1890853,37.76157687,-122.422928,$160.00 ,Mission,97,14
4616040,37.75900265,-122.4213177,$135.00 ,Mission,97,338
13585679,37.75321807,-122.4138641,$160.00 ,Mission,99,250
9130888,37.75727525,-122.4084888,$95.00 ,Mission,100,58
6052238,37.76986546,-122.4255317,$350.00 ,Mission,100,186
14655185,37.76495306,-122.4228439,$110.00 ,Mission,96,87
13031795,37.75834501,-122.4117471,$215.00 ,Mission,95,145
16406893,37.76354058,-122.4251715,$110.00 ,Mission,100,355
3250486,37.76448974,-122.4245924,$122.00 ,Mission,98,167
14342450,37.75488403,-122.4076996,$147.00 ,Mission,95,69
8734202,37.76805409,-122.4215238,$150.00 ,Mission,93,139
1944564,37.76428759,-122.4127554,$169.00 ,Mission,99,226
350479,37.75710636,-122.409627,$70.00 ,Mission,99,257
16013400,37.74912718,-122.4157362,$52.00 ,Mission,100,152
16603222,37.75335937,-122.4170714,$175.00 ,Mission,100,60
48471,37.75541523,-122.4070269,$107.00 ,Mission,94,190
38935,37.74913223,-122.4193964,$145.00 ,Mission,99,144
17045534,37.76529085,-122.4237807,$72.00 ,Mission,100,41
744901,37.75817087,-122.4254617,$350.00 ,Mission,93,155
2782602,37.76103118,-122.4231313,$129.00 ,Mission,93,76
317951,37.76670126,-122.4199205,$198.00 ,Mission,91,89
11752686,37.75727662,-122.4209736,$163.00 ,Mission,94,177
4525604,37.75056813,-122.4104266,$116.00 ,Mission,99,87
3534282,37.7620613,-122.4220074,$119.00 ,Mission,97,357
664307,37.75291582,-122.4187473,$93.00 ,Mission,91,336
1807012,37.75008135,-122.4184093,$188.00 ,Mission,100,317
8866344,37.76796967,-122.4197506,$200.00 ,Mission,100,326
6836785,37.75203195,-122.4225433,$175.00 ,Mission,91,109
